Prompt,UseCase,Model,Tokens,Tags,Rating,AffiliateURL,License
"Write a LinkedIn carousel copy for a SaaS product launch. Include hook, pain, solution, proof, CTA.","Social media marketing","gpt-4o",120,"marketing,linkedin,carousel,saas",5,"https://affiliate.openai.com","CC-BY-NC"
"Generate a midjourney prompt for a cyberpunk cityscape at night, hyper‑realistic, 8k.","Image generation","midjourney",0,"art,cyberpunk,cityscape,midjourney",5,"https://midjourney.com/affiliate","CC-BY-NC"
"Create a concise email outreach template for B2B SaaS cold leads (under 150 words).", "Email copywriting", "claude-3-haiku", 80, "email,b2b,saas", 4, "https://affiliate.anthropic.com", "CC-BY-NC"
"Write a Python script that reads a CSV, filters rows where column A > 100, and saves to new CSV.","Coding","phi3-mini-q4_0",150,"code,python,csv",5,"","CC0"
"Design a 30‑second TikTok ad script for a new fitness app, high energy, includes call‑to‑action.","Video ad copy","gemma-2b-q4_0",100,"video,tiktok,fitness",4,"","CC0"
"Generate a product description for an eco‑friendly reusable water bottle, 200‑word SEO‑optimized.","E‑commerce copy","gpt-4o",130,"ecommerce,seo,product",5,"https://affiliate.openai.com","CC-BY-NC"
"Write a detailed user persona for a 25‑year‑old urban professional interested in personal finance apps.","User research","claude-3-opus",180,"persona,finance,ux",5,"","CC0"
"Create a PowerShell script that backs up a folder to a zip file with timestamp.","DevOps","phi3-mini-q4_0",200,"script,powershell,backup",4,"","CC0"
"Draft a 5‑point meeting agenda for a product kick‑off with engineering and design.","Project management","gpt-4o",90,"meeting,agenda,product",5,"","CC0"
"Write a witty Instagram caption for a travel photo of the Himalayas, include relevant hashtags.","Social media","gemma-2b-q4_0",70,"instagram,travel,caption",5,"","CC0"
"Generate a DALL‑E prompt for a pastel illustration of a cat reading a book, minimalist style.","Image generation","dall-e-3",0,"art,cat,illustration",5,"https://affiliate.openai.com","CC-BY-NC"
"Create a 3‑email drip sequence for onboarding new users to a SaaS analytics tool.","Email marketing","claude-3-haiku",150,"drip,email,saas",5,"","CC0"
"Write a concise value proposition statement for a B2C meal‑kit delivery service.","Copywriting","gpt-4o",80,"value-proposition,mealkit",5,"","CC0"
"Generate a short JavaScript function that debounces a user input field (500ms).","Coding","phi3-mini-q4_0",120,"javascript,debounce",5,"","CC0"
"Create a list of 10 SEO keywords for a blog about remote work productivity tools.","SEO","gemma-2b-q4_0",70,"seo,remote-work",4,"","CC0"
"Write a persuasive sales pitch (30 seconds) for a cloud‑based backup solution targeting small businesses.","Sales","claude-3-opus",130,"sales,pitch,cloud-backup",5,"","CC0"
"Design a simple landing page headline and subheadline for a AI‑powered résumé optimiser.","Landing page","gpt-4o",90,"landing-page,resume",5,"","CC0"
"Generate a concise FAQ (5 Q&A) for a subscription‑based meditation app.","Customer support","phi3-mini-q4_0",110,"faq,meditation",4,"","CC0"
"Write a motivational quote (max 15 words) for a daily productivity planner.","Quote","gemma-2b-q4_0",30,"quote,productivity",5,"","CC0"
"Create a Zapier automation outline: When a new Typeform response arrives, add a row to Google Sheets and send a Slack notification.","Automation","claude-3-haiku",150,"zapier,typeform,slack",5,"","CC0"
"Draft a 2‑sentence tagline for a premium coffee subscription service.","Branding","gpt-4o",50,"tagline,coffee",5,"","CC0"
"Write a short (150‑word) blog intro about the benefits of AI‑assisted code review.","Blog","phi3-mini-q4_0",130,"blog,code-review",5,"","CC0"
"Generate a Midjourney prompt for a fantasy forest with glowing mushrooms, ultra‑realistic.","Image generation","midjourney",0,"art,fantasy,forest",5,"https://midjourney.com/affiliate","CC-BY-NC"
"Create a polite follow‑up email template after a sales demo, asking for next steps.","Email","claude-3-haiku",90,"followup,email",5,"","CC0"
"Write a short (80‑word) product ad copy for a noise‑cancelling headphone, emphasizing battery life.","Ad copy","gpt-4o",80,"ad,headphones",5,"","CC0"
"Generate a concise FAQ (3 Q&A) for a cryptocurrency staking platform.","FAQ","gemma-2b-q4_0",100,"crypto,staking",4,"","CC0"
"Write a LinkedIn post announcing a partnership between a fintech startup and a major bank, 150 words.","Social media","claude-3-opus",140,"linkedin,partnership,fintech",5,"","CC0"
"Create a PowerQuery formula to combine two tables on a common key and remove duplicates.","Data analysis","phi3-mini-q4_0",170,"powerquery,data",4,"","CC0"
"Write a brief (60‑word) press release headline and subheadline for a new AI‑driven photo editing app.","Press release","gpt-4o",70,"press-release,photo-editing",5,"","CC0"
"Generate a short (2‑sentence) Instagram story script for a limited‑time discount on a fitness app.","Social media","gemma-2b-q4_0",60,"instagram,story,discount",5,"","CC0"
"Draft a concise (100‑word) mission statement for a sustainable fashion brand.","Branding","claude-3-haiku",80,"mission,sustainable-fashion",5,"","CC0"
"Write a quick (5‑step) troubleshooting guide for a common Wi‑Fi connectivity issue.","Support","phi3-mini-q4_0",120,"troubleshooting,wifi",4,"","CC0"
